D1:1
D2:1
D3:1
D4:1
FOX1:1
H10:1
H3:1
H4:1
H5:1
H6:1
H7:1
H8:1
H9:1
J1:1
J2:1
J3A1:1
J3C1:1
J4:1
POWER1:1
R1:1
R2:1
R3:1
R4:1
